0,,-2,-1,0,1,0,-1,-2
0,2,-2,0,1,0,-2,-2,-3
0,27,-1,3,0,3,0,-2,-1
0,272,-4,-3,-3,-4,-3,-4,-4
0,2722,-3,0,2,3,0,-2,0
0,27226,0,0,2,-2,0,-3,-3
0,272261,-2,0,0,-2,0,-2,-2
0,2722614,-3,-3,-3,2,-3,-5,-4
0,27226144,-5,-5,-3,-2,-3,-4,-4
0,272261441,2,3,3,5,3,4,3
0,2722614411,-5,-5,-2,-2,-2,-3,-4
0,27226144115,-15,-15,2,-15,-15,-15,-15
0,272261441155,-6,-6,15,-1,-2,-1,-2
0,2722614411557,-14,-14,2,-14,-14,-14,-14
0,27226144115576,-11,-11,14,-1,-3,-11,-11
0,272261441155761,-13,-13,11,-13,-13,-13,-13
0,2722614411557613,-13,-13,-11,-13,-13,-13,-13
0,27226144115576136,11,11,13,12,12,12,10
0,272261441155761367,-12,-12,-10,-12,-12,-12,-12
0,2722614411557613672,9,10,12,11,11,11,9
1,,-2,-1,0,1,0,-1,-2
1,4,-4,-2,-2,-1,-2,-2,-4
1,43,-3,-3,0,0,-2,2,1
1,433,-4,-5,0,-3,-4,-2,-4
1,4336,0,-2,0,-2,2,1,-2
1,43367,-3,-4,2,-2,-4,0,-4
1,433671,-3,-2,3,2,2,-2,0
1,4336711,-9,-11,3,-3,-4,0,-6
1,43367111,4,3,4,9,2,3,2
1,433671114,-9,-16,-14,-14,-14,-13,-14
1,4336711141,5,9,9,9,0,7,5
1,43367111415,0,-15,-8,0,-10,-8,-11
1,433671114155,-2,10,4,10,4,-2,-2
1,4336711141554,-14,-14,-14,-10,-14,-14,-14
1,43367111415543,4,13,4,14,12,5,8
1,433671114155433,-13,-13,-13,-4,-13,-13,-13
1,4336711141554335,11,12,11,13,12,11,11
1,43367111415543353,-12,-12,-12,-11,-12,-12,-12
1,433671114155433532,11,12,11,12,11,11,11
1,4336711141554335327,-11,-11,-11,-11,-11,-11,-11
1,43367111415543353275,-11,11,-11,11,10,-11,-11
1,433671114155433532757,-10,-10,-10,-10,11,-10,-10
1,4336711141554335327576,-10,10,-10,10,9,-10,10
1,43367111415543353275763,-9,-9,-1000,-9,10,-9,-9
1,433671114155433532757631,-9,9,-1000,9,-9,-9,9
1,4336711141554335327576315,9,-8,-1000,-8,-8,-8,-8
1,43367111415543353275763154,-8,8,-1000,-8,-8,-8,8
1,433671114155433532757631546,8,8,-1000,-7,-7,-7,-7
2,,-2,-1,0,1,0,-1,-2
2,4,-4,-2,-2,-1,-2,-2,-4
2,44,-3,-3,-2,1,-2,-3,-3
2,443,-18,2,-18,-18,2,-18,-18
2,4436,-3,18,2,3,-3,0,-3
2,44361,-18,3,-18,-18,-18,-18,-18
2,443611,-2,18,3,2,-2,2,-3
2,4436115,-17,2,-17,-17,-17,-17,-17
2,44361154,-5,17,-4,-4,-4,-5,-6
2,443611545,-16,4,-16,-16,-16,-16,-16
2,4436115456,-4,16,1,1,15,-4,-4
3,,-2,-1,0,1,0,-1,-2
3,3,-2,-2,0,0,0,0,-3
3,31,0,0,0,2,0,0,-2
3,311,-4,-2,0,0,0,0,-2
3,3116,-2,-1,0,-1,-1,0,-2
3,31167,-1,0,2,0,-3,2,0
3,311677,0,0,-2,0,-2,0,-2
3,3116771,-2,-1,0,-1,-2,0,-1
3,31167717,0,-1,-1,0,0,0,1
3,311677174,-5,-5,-2,-1,-4,-9,0
3,3116771744,1,-1,-1,0,-2,0,1
3,31167717447,-3,-1,-3,-4,-3,-5,-3
3,311677174475,3,-10,-9,-3,3,-3,-7
3,3116771744755,-3,-4,-4,-3,-3,-14,-4
3,31167717447556,13,-2,-3,1,-1,14,-3
3,311677174475564,-13,-13,-13,-13,-13,-1,-13
3,3116771744755647,12,1,4,4,0,13,1
4,,-2,-1,0,1,0,-1,-2
4,4,-4,-2,-2,-1,-2,-2,-4
4,46,-2,2,0,0,-2,2,-2
4,463,-2,0,-18,-18,-4,-18,-18
4,4631,-1,2,2,2,0,2,0
4,46314,-12,-6,-6,-2,-10,-12,-13
4,463143,0,4,4,6,6,2,0
4,4631434,-17,-17,-17,-6,-17,-17,-17
4,46314341,13,16,13,17,16,6,4
5,,-2,-1,0,1,0,-1,-2
5,3,-2,-2,0,0,0,0,-3
5,36,-2,0,0,0,0,0,-2
5,363,-4,-3,0,-3,-4,-5,-4
5,3632,-2,-3,3,-2,0,0,-2
5,36324,-2,-6,2,-2,-13,-5,-4
5,363246,-1,-2,5,0,-3,-2,-3
5,3632465,-11,-4,3,2,-3,2,-2
5,36324655,-11,-11,3,-8,-1,-2,-5
5,363246554,-13,-13,2,4,2,8,-13
5,3632465545,-14,-14,-14,-9,-14,-2,-14
5,36324655451,2,8,8,12,13,14,2
5,363246554511,-13,-13,-13,-8,-13,-2,-13
5,3632465545116,-2,2,2,2,2,2,2
5,36324655451163,-12,-13,-2,-11,-12,-12,-11
5,363246554511631,2,2,12,12,11,2,2
5,3632465545116313,-13,-13,-13,-12,-13,-13,-13
5,36324655451163134,-12,-12,-12,12,-12,-12,-12
5,363246554511631346,-11,-11,-11,12,11,11,-11
5,3632465545116313461,-11,-11,-11,11,-11,-11,-11
5,36324655451163134614,-11,-11,-11,-11,-11,-11,-11
5,363246554511631346146,-10,-10,11,-10,11,-10,11
5,3632465545116313461466,-10,-10,-10,-10,10,-1000,-10
5,36324655451163134614662,-9,-9,10,-9,10,-1000,10
5,363246554511631346146621,-9,9,-9,-9,9,-1000,-9
6,,-2,-1,0,1,0,-1,-2
6,4,-4,-2,-2,-1,-2,-2,-4
6,43,-3,-3,0,0,-2,2,1
6,432,-2,1,0,3,-4,-2,-3
6,4327,-3,3,0,1,0,-3,-3
6,43275,-3,0,-1,-1,0,-2,-3
6,432753,-4,-2,1,0,0,-6,-4
6,4327534,-6,-6,0,0,-4,-5,-5
6,43275344,-4,-5,-3,0,-5,-5,-4
